"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4586","0","1","0.000000","0","0"
"","0","1","0","1","0.000000","55","0"
"/Game/FirstPerson/SFX/Vidos/Main_Video_Mat.Main_Video_Mat","0","9","1","1","9.843246","0","28"
"/Game/CharacterBodyFX/Materials/M_Bubble.M_Bubble","0","48","48","1","353.079834","0","90"
"/Game/CharacterBodyFX/Materials/M_Diamond.M_Diamond","0","52","2","1","319.558838","0","177"
"/Game/CharacterBodyFX/Materials/M_Flower_02.M_Flower_02","0","46","6","1","103.964996","0","133"
"/Game/CharacterBodyFX/Materials/M_Flower_01.M_Flower_01","0","46","46","1","107.791420","0","46"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","27","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","35","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","52","6","0.000000","0","3"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","68","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","7","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","42","2","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","637","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","35","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","58","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","84","1","0.000000","0","0"
"/Game/CharacterBodyFX/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","104","38","2","226.839493","0","962"
"/Game/CharacterBodyFX/Materials/M_Invisible.M_Invisible","0","52","1","1","108.033539","0","334"
"/Game/CharacterBodyFX/Materials/M_Floor.M_Floor","0","14","1","1","32.538048","0","70"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","0","69","3","0.000000","0","0"
"/Game/Assetes/Table/Black.Black","0","14","1","1","32.192959","0","67"
"/Game/Assetes/Storge/Mats/Locker_with_blood.Locker_with_blood","0","14","3","1","34.348541","0","43"
"/Game/Assetes/Body_PARTS/Foot/WorldWar_zombie_material.WorldWar_zombie_material","0","14","1","1","31.285042","0","37"
"/Game/Assetes/Beds/Mats/Crib.Crib","0","14","1","1","31.404657","0","35"
"/Game/Assetes/Beds/Mats/Black.Black","0","14","1","1","31.300978","0","37"
"/Game/Assetes/Beds/Mats/BEd.BEd","0","14","1","1","32.724800","0","33"
"/Game/Assetes/Beds/Mats/Logo.Logo","0","14","2","1","34.243023","0","40"
"/Game/Assetes/Beds/Crip/Crib.Crib","0","14","1","1","37.166061","0","63"
"/Game/PSX/PSX_Pixie.PSX_Pixie","0","4","4","1","5.516644","0","5"
"/Game/CharacterBodyFX/Materials/M_LightOrb.M_LightOrb","0","26","1","1","69.240326","0","125"
"/Game/CharacterBodyFX/Materials/M_Flower_05.M_Flower_05","0","46","1","1","125.526131","0","298"
"/Game/CharacterBodyFX/Materials/M_Flower_04.M_Flower_04","0","46","3","1","125.477921","0","397"
"/Game/CharacterBodyFX/Materials/M_Flower_03.M_Flower_03","0","46","1","1","123.876511","0","427"
"/Game/Assetes/Beds/Mats/Wood_And_Metal.Wood_And_Metal","0","14","4","1","37.847034","0","79"
"/Game/Assetes/Beds/Mats/Gurney.Gurney","0","14","3","1","36.796833","0","36"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Game/Assetes/Body_PARTS/Hands/MATS_ETC/TEMP/Ch10_body1_001.Ch10_body1_001","0","14","7","1","38.938225","0","70"
"/Game/Assetes/Body_PARTS/Hands/MATS_ETC/TEMP/Ch10_body.Ch10_body","0","14","3","1","40.338642","0","70"
"/Game/Assetes/Body_PARTS/Hands/MATS_ETC/WorldWar_zombie_material.WorldWar_zombie_material","0","14","3","1","40.988716","0","64"
"/Game/Assetes/Body_PARTS/Hands/WorldWar_zombie_material.WorldWar_zombie_material","0","14","1","1","40.238529","0","44"
"/Game/Assetes/LIGHTS/Flick_Light.Flick_Light","0","35","5","1","67.677017","0","205"
"/Game/Assetes/Blood/Material_001.Material_001","0","14","14","1","26.152990","0","14"
"/Game/CharacterBodyFX/Materials/M_Twigs.M_Twigs","0","26","2","1","69.923538","0","83"
"/Game/Assetes/Chairs/Material.Material","0","14","1","1","42.274216","0","36"
"/Game/Assetes/Chairs/Chair.Chair","0","14","4","1","40.877407","0","53"
"/Game/Assetes/Body_PARTS/Hands/MATS_ETC/TEMP/WorldWar_zombie_material.WorldWar_zombie_material","0","14","3","1","35.268211","0","59"
"/Game/Assetes/Body_PARTS/Hands/MATS_ETC/TEMP/Ch10_body1.Ch10_body1","0","14","4","1","37.403015","0","50"
"/Game/Assetes/Body_PARTS/Parts/parasitezombie_Material1.parasitezombie_Material1","0","14","2","1","36.719437","0","54"
"/Game/Assetes/Body_PARTS/Hands/MATS_ETC/TEMP/Hands1.Hands1","0","14","9","1","37.414951","0","63"
"/Game/Assetes/Doors/Dirty_Door.Dirty_Door","0","14","4","1","35.870457","0","41"
"/Game/Assetes/Doors/Door.Door","0","14","6","1","34.341789","0","48"
"/Game/CharacterBodyFX/Materials/M_ToiletPaper.M_ToiletPaper","0","44","6","1","99.526413","0","222"
"/Game/Assetes/Fire_Extinguisher/Mesh_0389_rip_extinguisher1_png.Mesh_0389_rip_extinguisher1_png","0","14","14","1","26.086832","0","14"
"/Game/Assetes/IV_BAGS/Iv_Bag_Blood.Iv_Bag_Blood","0","14","1","1","37.030983","0","58"
"/Game/Assetes/Iron_Stand/Black_Wood.Black_Wood","0","14","7","1","34.387894","0","48"
"/Game/Assetes/Flash_Light/Tex_0110_0_dds_light1_png.Tex_0110_0_dds_light1_png","0","26","7","1","73.746101","0","123"
"/Game/Assetes/Exit/lambert2SG.lambert2SG","0","14","14","1","40.231380","0","14"
"/Game/CharacterBodyFX/Materials/M_StickyNote.M_StickyNote","0","30","30","1","87.008339","0","30"
"/Game/CharacterBodyFX/Materials/M_RockCliff.M_RockCliff","0","26","9","1","78.451599","0","67"
"/Game/Assetes/SautCase/Tex_0170_0_dds_case1_png.Tex_0170_0_dds_case1_png","0","14","2","1","36.452717","0","58"
"/Game/Assetes/KeyBoaed/KeyBOARD1.KeyBOARD1","0","14","1","1","36.950897","0","40"
"/Game/Assetes/IV_BAGS/Iv_Bag.Iv_Bag","0","14","6","1","36.067890","0","64"
"/Game/Assetes/ShotGun/Skeleton.Skeleton","0","14","3","1","39.158047","0","56"
"/Game/Assetes/Paper/Metal.Metal","0","14","2","1","36.601589","0","50"
"/Game/Assetes/Iron_Stand/Material.Material","0","14","5","1","37.024769","0","58"
"/Game/Assetes/ShotGun/Mats/Skeleton.Skeleton","0","14","5","1","39.136467","0","66"
"/Game/CharacterBodyFX/Materials/M_Pixel.M_Pixel","0","36","10","1","114.856613","0","177"
"/Game/Assetes/Storge/Mats/M_meds_shelf.M_meds_shelf","0","14","11","1","42.322979","0","41"
"/Game/Assetes/Storge/Dead_Storge/Main_Box.Main_Box","0","14","12","1","42.171822","0","41"
